15382:   python3 /home/yuance/Work/Trianglecounting/undirected_global.py 1000 1000 10 0.3 0.1
Address           Kbytes     RSS   Dirty Mode  Mapping
00007fd626ebc000       0       0       0 rw--- _lsap_module.cpython-36m-x86_64-linux-gnu.so
00007fd626ebd000     240       0       0 r-x-- _bglu_dense.cpython-36m-x86_64-linux-gnu.so
00007fd626ebd000       0       0       0 r-x-- _bglu_dense.cpython-36m-x86_64-linux-gnu.so
00007fd626ef9000    2048       0       0 ----- _bglu_dense.cpython-36m-x86_64-linux-gnu.so
00007fd626ef9000       0       0       0 ----- _bglu_dense.cpython-36m-x86_64-linux-gnu.so
00007fd6270f9000      20       0       0 rw--- _bglu_dense.cpython-36m-x86_64-linux-gnu.so
00007fd6270f9000       0       0       0 rw--- _bglu_dense.cpython-36m-x86_64-linux-gnu.so
00007fd6270fe000     260     180     180 rw---   [ anon ]
00007fd6270fe000       0       0       0 rw---   [ anon ]
00007fd62713f000      40       0       0 r-x-- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd62713f000       0       0       0 r-x-- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd627149000    2048       0       0 ----- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd627149000       0       0       0 ----- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd627349000       4       0       0 rw--- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd627349000       0       0       0 rw--- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd62734a000       8       0       0 rw--- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd62734a000       0       0       0 rw--- __nnls.cpython-36m-x86_64-linux-gnu.so
00007fd62734c000      12       0       0 r-x-- _zeros.cpython-36m-x86_64-linux-gnu.so
00007fd62734c000       0       0       0 r-x-- _zeros.cpython-36m-x86_64-linux-gnu.so
00007fd62734f000    2044       0       0 ----- _zeros.cpython-36m-x86_64-linux-gnu.so
00007fd62734f000       0       0       0 ----- _zeros.cpython-36m-x86_64-linux-gnu.so
00007fd62754e000       4       0       0 rw--- _zeros.cpython-36m-x86_64-linux-gnu.so
00007fd62754e000       0       0       0 rw--- _zeros.cpython-36m-x86_64-linux-gnu.so
00007fd62754f000     256     164     164 rw---   [ anon ]
00007fd62754f000       0       0       0 rw---   [ anon ]
00007fd62758f000     148       0       0 r-x-- givens_elimination.cpython-36m-x86_64-linux-gnu.so
00007fd62758f000       0       0       0 r-x-- givens_elimination.cpython-36m-x86_64-linux-gnu.so
00007fd6275b4000    2044       0       0 ----- givens_elimination.cpython-36m-x86_64-linux-gnu.so
00007fd6275b4000       0       0       0 ----- givens_elimination.cpython-36m-x86_64-linux-gnu.so
00007fd6277b3000      12       0       0 rw--- givens_elimination.cpython-36m-x86_64-linux-gnu.so
00007fd6277b3000       0       0       0 rw--- givens_elimination.cpython-36m-x86_64-linux-gnu.so
00007fd6277b6000       4       0       0 rw---   [ anon ]
00007fd6277b6000       0       0       0 rw---   [ anon ]
00007fd6277b7000     124       0       0 r-x-- _minpack.cpython-36m-x86_64-linux-gnu.so
00007fd6277b7000       0       0       0 r-x-- _minpack.cpython-36m-x86_64-linux-gnu.so
00007fd6277d6000    2048       0       0 ----- _minpack.cpython-36m-x86_64-linux-gnu.so
00007fd6277d6000       0       0       0 ----- _minpack.cpython-36m-x86_64-linux-gnu.so
00007fd6279d6000      12       0       0 rw--- _minpack.cpython-36m-x86_64-linux-gnu.so
00007fd6279d6000       0       0       0 rw--- _minpack.cpython-36m-x86_64-linux-gnu.so
00007fd6279d9000      96       0       0 r-x-- _slsqp.cpython-36m-x86_64-linux-gnu.so
00007fd6279d9000       0       0       0 r-x-- _slsqp.cpython-36m-x86_64-linux-gnu.so
00007fd6279f1000    2044       0       0 ----- _slsqp.cpython-36m-x86_64-linux-gnu.so
00007fd6279f1000       0       0       0 ----- _slsqp.cpython-36m-x86_64-linux-gnu.so
00007fd627bf0000      16       0       0 rw--- _slsqp.cpython-36m-x86_64-linux-gnu.so
00007fd627bf0000       0       0       0 rw--- _slsqp.cpython-36m-x86_64-linux-gnu.so
00007fd627bf4000     120       0       0 r-x-- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627bf4000       0       0       0 r-x-- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627c12000    2048       0       0 ----- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627c12000       0       0       0 ----- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627e12000       4       0       0 rw--- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627e12000       0       0       0 rw--- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627e13000       8       0       0 rw--- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627e13000       0       0       0 rw--- _cobyla.cpython-36m-x86_64-linux-gnu.so
00007fd627e15000      48       0       0 r-x-- moduleTNC.cpython-36m-x86_64-linux-gnu.so
00007fd627e15000       0       0       0 r-x-- moduleTNC.cpython-36m-x86_64-linux-gnu.so
00007fd627e21000    2044       0       0 ----- moduleTNC.cpython-36m-x86_64-linux-gnu.so
00007fd627e21000       0       0       0 ----- moduleTNC.cpython-36m-x86_64-linux-gnu.so
00007fd628020000       4       0       0 rw--- moduleTNC.cpython-36m-x86_64-linux-gnu.so
00007fd628020000       0       0       0 rw--- moduleTNC.cpython-36m-x86_64-linux-gnu.so
00007fd628021000     120       0       0 r-x-- _lbfgsb.cpython-36m-x86_64-linux-gnu.so
00007fd628021000       0       0       0 r-x-- _lbfgsb.cpython-36m-x86_64-linux-gnu.so
00007fd62803f000    2044       0       0 ----- _lbfgsb.cpython-36m-x86_64-linux-gnu.so
00007fd62803f000       0       0       0 ----- _lbfgsb.cpython-36m-x86_64-linux-gnu.so
